IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
150.230.63.93,443,443,True,KIX,Asia Pacific,JP,Osaka,225,5.22
146.56.46.84,443,443,True,ICN,Asia Pacific,KR,Seoul,268,5.16
130.162.143.219,443,443,True,ICN,Asia Pacific,KR,Seoul,187,5.08
129.159.22.4,443,443,True,MAA,Asia Pacific,IN,Chennai,162,5.05
146.56.176.143,443,443,True,ICN,Asia Pacific,KR,Seoul,204,4.94
152.70.232.151,443,443,True,ICN,Asia Pacific,KR,Seoul,188,4.9
168.138.46.67,443,443,True,KIX,Asia Pacific,JP,Osaka,171,4.85
140.238.23.148,443,443,True,ICN,Asia Pacific,KR,Seoul,230,4.79
146.56.101.141,443,443,True,ICN,Asia Pacific,KR,Seoul,229,4.71
35.200.238.235,443,443,True,BOM,Asia Pacific,IN,Mumbai,495,7.52
35.200.238.235,443,443,True,BOM,Asia Pacific,IN,Mumbai,414,5.76
35.200.238.235,443,443,True,BOM,Asia Pacific,IN,Mumbai,518,6.01
