IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
150.230.156.208,443,443,true,FRA,Europe,DE,Frankfurt,225,9.77
143.47.226.240,443,443,true,FRA,Europe,DE,Frankfurt,407,9.76
152.70.18.80,443,443,true,FRA,Europe,DE,Frankfurt,285,9.76
141.147.107.72,443,443,true,FRA,Europe,DE,Frankfurt,207,9.75
158.101.211.186,443,443,true,FRA,Europe,DE,Frankfurt,189,9.74
141.147.71.126,443,443,true,FRA,Europe,DE,Frankfurt,197,9.71
158.178.149.92,443,443,true,FRA,Europe,DE,Frankfurt,343,9.70
158.180.13.217,443,443,true,FRA,Europe,DE,Frankfurt,163,9.68
193.123.37.215,443,443,true,FRA,Europe,DE,Frankfurt,460,9.64
129.159.31.73,443,443,true,FRA,Europe,DE,Frankfurt,232,9.63
79.72.87.238,443,443,true,FRA,Europe,DE,Frankfurt,264,9.63
143.47.225.154,443,443,true,FRA,Europe,DE,Frankfurt,370,9.59
158.101.209.76,443,443,true,AMS,Europe,NL,Amsterdam,307,9.58
144.24.182.119,443,443,true,FRA,Europe,DE,Frankfurt,304,9.52
192.9.158.188,443,443,true,SJC,North America,US,San Jose,340,9.49
130.162.252.249,443,443,true,FRA,Europe,DE,Frankfurt,175,9.48
158.180.19.27,443,443,true,FRA,Europe,DE,Frankfurt,312,9.46
79.72.86.234,443,443,true,FRA,Europe,DE,Frankfurt,331,9.46
152.70.123.225,8443,443,true,SJC,North America,US,San Jose,350,9.42
130.162.165.174,443,443,true,FRA,Europe,DE,Frankfurt,205,9.42
158.178.146.246,443,443,true,FRA,Europe,DE,Frankfurt,288,9.41
158.180.89.73,443,443,true,ICN,Asia Pacific,KR,Seoul,117,9.38
132.226.233.135,443,443,true,LAX,North America,US,Los Angeles,203,9.36
158.180.53.243,443,443,true,FRA,Europe,DE,Frankfurt,279,9.33
144.21.36.232,443,443,true,FRA,Europe,DE,Frankfurt,172,9.33
143.47.250.29,443,443,true,FRA,Europe,DE,Frankfurt,239,9.33
138.2.147.220,443,443,true,FRA,Europe,DE,Frankfurt,381,9.31
129.159.252.161,443,443,true,FRA,Europe,DE,Frankfurt,212,9.30
130.162.186.79,443,443,true,FRA,Europe,DE,Frankfurt,272,9.26
144.21.42.142,443,443,true,FRA,Europe,DE,Frankfurt,268,9.22
141.147.74.91,443,443,true,FRA,Europe,DE,Frankfurt,204,9.18
141.147.45.150,443,443,true,FRA,Europe,DE,Frankfurt,263,9.16
192.9.138.241,443,443,true,SJC,North America,US,San Jose,380,9.15
138.3.245.50,443,443,true,FRA,Europe,DE,Frankfurt,317,9.08
158.180.16.200,443,443,true,FRA,Europe,DE,Frankfurt,270,9.06
79.72.79.212,443,443,true,FRA,Europe,DE,Frankfurt,398,9.03
150.230.124.166,443,443,true,FRA,Europe,DE,Frankfurt,225,9.03
152.70.171.230,443,443,true,FRA,Europe,DE,Frankfurt,221,9.02
130.162.168.238,443,443,true,FRA,Europe,DE,Frankfurt,282,8.99
141.147.81.91,443,443,true,FRA,Europe,DE,Frankfurt,203,8.98
144.24.80.56,443,443,true,ICN,Asia Pacific,KR,Seoul,385,8.97
79.76.120.201,443,443,true,FRA,Europe,DE,Frankfurt,322,8.88
130.162.179.203,443,443,true,FRA,Europe,DE,Frankfurt,253,8.87
158.180.48.169,443,443,true,FRA,Europe,DE,Frankfurt,314,8.87
